"Id","ProductName","Cliente","Pais_Venta","Quantity","UnitPrice","Pais_de_Origen","Proveedor"
29,"Original Frankfurter grüne Soße","Carlos Hernández","Venezuela",15,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
30,"Chang","Roland Mendel","Austria",50,15.2,"UK","Exotic Liquids"
31,"Chef Anton's Gumbo Mix'","Roland Mendel","Austria",65,17.0,"USA","New Orleans Cajun Delights"
32,"Mascarpone Fabioli","Roland Mendel","Austria",6,25.6,"Italy","Formaggi Fortini s.r.l."
33,"Sir Rodney's Scones'","Francisco Chang","Mexico",10,8.0,"UK","Specialty Biscuits, Ltd."
34,"Gravad lax","Francisco Chang","Mexico",1,20.8,"Sweden","Svensk Sjöföda AB"
35,"Jack's New England Clam Chowder'","Henriette Pfalzheim","Germany",16,7.7,"USA","New England Seafood Cannery"
36,"Ravioli Angelo","Henriette Pfalzheim","Germany",50,15.6,"Italy","Pasta Buttini s.r.l."
37,"Tarte au sucre","Henriette Pfalzheim","Germany",15,39.4,"Canada","Forêts d'érables'"
38,"Outback Lager","Henriette Pfalzheim","Germany",21,12.0,"Australia","Pavlova, Ltd."
39,"Sir Rodney's Scones'","Bernardo Batista","Brazil",20,8.0,"UK","Specialty Biscuits, Ltd."
40,"Steeleye Stout","Bernardo Batista","Brazil",20,14.4,"USA","Bigfoot Breweries"
41,"Chef Anton's Gumbo Mix'","Paula Wilson","USA",12,17.0,"USA","New Orleans Cajun Delights"
42,"Uncle Bob's Organic Dried Pears'","Paula Wilson","USA",15,24.0,"USA","Grandma Kelly's Homestead'"
43,"Gnocchi di nonna Alice","Paula Wilson","USA",2,30.4,"Italy","Pasta Buttini s.r.l."
44,"Pavlova","Roland Mendel","Austria",60,13.9,"Australia","Pavlova, Ltd."
45,"Guaraná Fantástica","Roland Mendel","Austria",28,3.6,"Brazil","Refrescos Americanas LTDA"
46,"Nord-Ost Matjeshering","Roland Mendel","Austria",60,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
47,"Longlife Tofu","Roland Mendel","Austria",36,8.0,"Japan","Tokyo Traders"
48,"Chang","Maria Larsson","Sweden",35,15.2,"UK","Exotic Liquids"
49,"Jack's New England Clam Chowder'","Maria Larsson","Sweden",25,7.7,"USA","New England Seafood Cannery"
50,"Alice Mutton","Frédérique Citeaux","France",30,31.2,"Australia","Pavlova, Ltd."
51,"Outback Lager","Frédérique Citeaux","France",20,12.0,"Australia","Pavlova, Ltd."
52,"Queso Manchego La Pastora","Pirkko Koskitalo","Finland",12,30.4,"Spain","Cooperativa de Quesos 'Las Cabras'''"
53,"Boston Crab Meat","Peter Franken","Germany",50,14.7,"USA","New England Seafood Cannery"
54,"Raclette Courdavault","Peter Franken","Germany",70,44.0,"France","Gai pâturage"
55,"Lakkalikööri","Peter Franken","Germany",15,14.4,"Finland","Karkki Oy"
56,"Thüringer Rostbratwurst","Manuel Pereira","Venezuela",10,99.0,"Germany","Plutzer Lebensmittelgroßmärkte AG"
57,"Mozzarella di Giovanni","Manuel Pereira","Venezuela",4,27.8,"Italy","Formaggi Fortini s.r.l."
58,"Geitost","Karl Jablonski","USA",60,2.0,"Norway","Norske Meierier"
59,"Mozzarella di Giovanni","Karl Jablonski","USA",20,27.8,"Italy","Formaggi Fortini s.r.l."
60,"Inlagd Sill","Pirkko Koskitalo","Finland",30,15.2,"Sweden","Svensk Sjöföda AB"
61,"Ipoh Coffee","Pirkko Koskitalo","Finland",25,36.8,"Singapore","Leka Trading"
62,"Geitost","Art Braunschweiger","USA",24,2.0,"Norway","Norske Meierier"
63,"Sir Rodney's Marmalade'","Paula Wilson","USA",6,64.8,"UK","Specialty Biscuits, Ltd."
64,"Gorgonzola Telino","Paula Wilson","USA",40,10.0,"Italy","Formaggi Fortini s.r.l."
65,"Mozzarella di Giovanni","Paula Wilson","USA",24,27.8,"Italy","Formaggi Fortini s.r.l."
66,"Ikura","Horst Kloss","Germany",24,24.8,"Japan","Tokyo Traders"
67,"Gorgonzola Telino","Horst Kloss","Germany",15,10.0,"Italy","Formaggi Fortini s.r.l."
68,"Geitost","Horst Kloss","Germany",20,2.0,"Norway","Norske Meierier"
69,"Boston Crab Meat","Horst Kloss","Germany",60,14.7,"USA","New England Seafood Cannery"
70,"Lakkalikööri","Horst Kloss","Germany",33,14.4,"Finland","Karkki Oy"
71,"Flotemysost","Paul Henriot","France",20,17.2,"Norway","Norske Meierier"
72,"Mozzarella di Giovanni","Paul Henriot","France",7,27.8,"Italy","Formaggi Fortini s.r.l."
73,"Guaraná Fantástica","Giovanni Rovelli","Italy",12,3.6,"Brazil","Refrescos Americanas LTDA"
74,"Raclette Courdavault","Giovanni Rovelli","Italy",6,44.0,"France","Gai pâturage"
75,"Ikura","Miguel Angel Paolino","Mexico",15,24.8,"Japan","Tokyo Traders"
76,"Konbu","Miguel Angel Paolino","Mexico",10,4.8,"Japan","Mayumi's'"
77,"Rössle Sauerkraut","Alexander Feuer","Germany",20,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
78,"Tarte au sucre","Alexander Feuer","Germany",12,39.4,"Canada","Forêts d'érables'"
79,"Gula Malacca","Christina Berglund","Sweden",16,15.5,"Singapore","Leka Trading"
80,"Raclette Courdavault","Christina Berglund","Sweden",15,44.0,"France","Gai pâturage"
81,"Vegie-spread","Christina Berglund","Sweden",8,35.1,"Australia","Pavlova, Ltd."
82,"Röd Kaviar","Christina Berglund","Sweden",25,12.0,"Sweden","Svensk Sjöföda AB"
83,"Alice Mutton","Renate Messner","Germany",15,31.2,"Australia","Pavlova, Ltd."
84,"Guaraná Fantástica","Christina Berglund","Sweden",12,3.6,"Brazil","Refrescos Americanas LTDA"
85,"Pâté chinois","Christina Berglund","Sweden",20,19.2,"Canada","Ma Maison"
86,"Rhönbräu Klosterbier","Christina Berglund","Sweden",30,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
87,"Teatime Chocolate Biscuits","Alejandra Camino","Spain",1,7.3,"UK","Specialty Biscuits, Ltd."
88,"Guaraná Fantástica","Alejandra Camino","Spain",6,3.6,"Brazil","Refrescos Americanas LTDA"
89,"Steeleye Stout","Alejandra Camino","Spain",4,14.4,"USA","Bigfoot Breweries"
90,"Nord-Ost Matjeshering","Alejandra Camino","Spain",6,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
91,"Ravioli Angelo","Alejandra Camino","Spain",2,15.6,"Italy","Pasta Buttini s.r.l."
92,"Genen Shouyu","Carlos González","Venezuela",20,12.4,"Japan","Mayumi's'"
93,"Teatime Chocolate Biscuits","Carlos González","Venezuela",18,7.3,"UK","Specialty Biscuits, Ltd."
94,"Camembert Pierrot","Carlos González","Venezuela",35,27.2,"France","Gai pâturage"
95,"Mozzarella di Giovanni","Carlos González","Venezuela",3,27.8,"Italy","Formaggi Fortini s.r.l."
96,"Schoggi Schokolade","Renate Messner","Germany",15,35.1,"Germany","Heli Süßwaren GmbH & Co. KG"
97,"Gula Malacca","Renate Messner","Germany",21,15.5,"Singapore","Leka Trading"
98,"Camembert Pierrot","Renate Messner","Germany",20,27.2,"France","Gai pâturage"
99,"Laughing Lumberjack Lager","Renate Messner","Germany",5,11.2,"USA","Bigfoot Breweries"
100,"Chai","Horst Kloss","Germany",45,14.4,"UK","Exotic Liquids"
101,"Boston Crab Meat","Horst Kloss","Germany",40,14.7,"USA","New England Seafood Cannery"
102,"Perth Pasties","Horst Kloss","Germany",36,26.2,"Sydney","G'day"
103,"Steeleye Stout","Horst Kloss","Germany",100,14.4,"USA","Bigfoot Breweries"
104,"Tarte au sucre","Horst Kloss","Germany",40,39.4,"Canada","Forêts d'érables'"
105,"Pavlova","Janete Limeira","Brazil",40,13.9,"Australia","Pavlova, Ltd."
106,"Sasquatch Ale","Janete Limeira","Brazil",20,11.2,"USA","Bigfoot Breweries"
107,"Spegesild","Janete Limeira","Brazil",15,9.6,"Denmark","Lyngbysild"
108,"Tourtière","Maurizio Moroni","Italy",10,5.9,"Canada","Ma Maison"
109,"Scottish Longbreads","Maurizio Moroni","Italy",3,10.0,"UK","Specialty Biscuits, Ltd."
110,"Aniseed Syrup","Victoria Ashworth","UK",30,8.0,"UK","Exotic Liquids"
111,"Wimmers gute Semmelknödel","Victoria Ashworth","UK",9,26.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
112,"Chef Anton's Gumbo Mix'","Pedro Afonso","Brazil",20,17.0,"USA","New Orleans Cajun Delights"
113,"Thüringer Rostbratwurst","Pedro Afonso","Brazil",15,99.0,"Germany","Plutzer Lebensmittelgroßmärkte AG"
114,"Maxilaku","Pedro Afonso","Brazil",15,16.0,"Finland","Karkki Oy"
115,"Original Frankfurter grüne Soße","Pedro Afonso","Brazil",10,10.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
116,"Konbu","Bernardo Batista","Brazil",20,4.8,"Japan","Mayumi's'"
117,"Gula Malacca","Bernardo Batista","Brazil",24,15.5,"Singapore","Leka Trading"
118,"Manjimup Dried Apples","Bernardo Batista","Brazil",2,42.4,"Sydney","G'day"
119,"Sir Rodney's Marmalade'","Anabela Domingues","Brazil",20,64.8,"UK","Specialty Biscuits, Ltd."
120,"Carnarvon Tigers","Miguel Angel Paolino","Mexico",12,50.0,"Australia","Pavlova, Ltd."
121,"Guaraná Fantástica","Miguel Angel Paolino","Mexico",10,3.6,"Brazil","Refrescos Americanas LTDA"
122,"Vegie-spread","Miguel Angel Paolino","Mexico",5,35.1,"Australia","Pavlova, Ltd."
123,"Rhönbräu Klosterbier","Miguel Angel Paolino","Mexico",6,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
124,"Chai","Paula Wilson","USA",18,14.4,"UK","Exotic Liquids"
125,"Alice Mutton","Paula Wilson","USA",15,31.2,"Australia","Pavlova, Ltd."
126,"Ipoh Coffee","Paula Wilson","USA",15,36.8,"Singapore","Leka Trading"
127,"Camembert Pierrot","Paula Wilson","USA",21,27.2,"France","Gai pâturage"
128,"Rhönbräu Klosterbier","Paula Wilson","USA",6,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
129,"Gnocchi di nonna Alice","Paul Henriot","France",4,30.4,"Italy","Pasta Buttini s.r.l."
130,"Queso Cabrales","Carlos González","Venezuela",12,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
131,"Pavlova","Carlos González","Venezuela",30,13.9,"Australia","Pavlova, Ltd."
132,"Gudbrandsdalsost","Carlos González","Venezuela",15,28.8,"Norway","Norske Meierier"
133,"Chartreuse verte","Frédérique Citeaux","France",60,14.4,"France","Aux joyeux ecclésiastiques"
134,"Mozzarella di Giovanni","Frédérique Citeaux","France",20,27.8,"Italy","Formaggi Fortini s.r.l."
135,"Chang","Patricia McKenna","Ireland",40,15.2,"UK","Exotic Liquids"
136,"Inlagd Sill","Patricia McKenna","Ireland",40,15.2,"Sweden","Svensk Sjöföda AB"
137,"Raclette Courdavault","Patricia McKenna","Ireland",30,44.0,"France","Gai pâturage"
138,"Tarte au sucre","Patricia McKenna","Ireland",15,39.4,"Canada","Forêts d'érables'"
139,"Teatime Chocolate Biscuits","Janete Limeira","Brazil",15,7.3,"UK","Specialty Biscuits, Ltd."
140,"Outback Lager","Janete Limeira","Brazil",20,12.0,"Australia","Pavlova, Ltd."
141,"Louisiana Hot Spiced Okra","Giovanni Rovelli","Italy",30,13.6,"USA","New Orleans Cajun Delights"
142,"Scottish Longbreads","Giovanni Rovelli","Italy",20,10.0,"UK","Specialty Biscuits, Ltd."
143,"Boston Crab Meat","Rita Müller","Germany",10,14.7,"USA","New England Seafood Cannery"
144,"Gnocchi di nonna Alice","Rita Müller","Germany",20,30.4,"Italy","Pasta Buttini s.r.l."
145,"Alice Mutton","Pascale Cartrain","Belgium",40,31.2,"Australia","Pavlova, Ltd."
146,"Rössle Sauerkraut","Pascale Cartrain","Belgium",28,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
147,"Ipoh Coffee","Pascale Cartrain","Belgium",12,36.8,"Singapore","Leka Trading"
148,"Boston Crab Meat","José Pedro Freyre","Spain",40,14.7,"USA","New England Seafood Cannery"
149,"Louisiana Fiery Hot Pepper Sauce","José Pedro Freyre","Spain",30,16.8,"USA","New Orleans Cajun Delights"
150,"Scottish Longbreads","José Pedro Freyre","Spain",15,10.0,"UK","Specialty Biscuits, Ltd."
151,"Maxilaku","Miguel Angel Paolino","Mexico",30,16.0,"Finland","Karkki Oy"
152,"Raclette Courdavault","Miguel Angel Paolino","Mexico",10,44.0,"France","Gai pâturage"
153,"Flotemysost","Miguel Angel Paolino","Mexico",2,17.2,"Norway","Norske Meierier"
154,"Carnarvon Tigers","Rene Phillips","USA",25,50.0,"Australia","Pavlova, Ltd."
155,"Thüringer Rostbratwurst","Rene Phillips","USA",25,99.0,"Germany","Plutzer Lebensmittelgroßmärkte AG"
156,"Chartreuse verte","Rene Phillips","USA",30,14.4,"France","Aux joyeux ecclésiastiques"
157,"Nord-Ost Matjeshering","Alejandra Camino","Spain",10,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
158,"Perth Pasties","Alejandra Camino","Spain",10,26.2,"Sydney","G'day"
159,"Tourtière","Alejandra Camino","Spain",5,5.9,"Canada","Ma Maison"
160,"Tarte au sucre","Fran Wilson","USA",10,39.4,"Canada","Forêts d'érables'"
161,"Scottish Longbreads","Fran Wilson","USA",3,10.0,"UK","Specialty Biscuits, Ltd."
162,"Gudbrandsdalsost","Ana Trujillo","Mexico",1,28.8,"Norway","Norske Meierier"
163,"Outback Lager","Ana Trujillo","Mexico",5,12.0,"Australia","Pavlova, Ltd."
164,"Chef Anton's Cajun Seasoning'","Patricia McKenna","Ireland",20,17.6,"USA","New Orleans Cajun Delights"
165,"Grandma's Boysenberry Spread'","Patricia McKenna","Ireland",30,20.0,"USA","Grandma Kelly's Homestead'"
166,"Singaporean Hokkien Fried Mee","Patricia McKenna","Ireland",2,11.2,"Singapore","Leka Trading"
167,"Ipoh Coffee","Patricia McKenna","Ireland",20,36.8,"Singapore","Leka Trading"
168,"Flotemysost","Patricia McKenna","Ireland",3,17.2,"Norway","Norske Meierier"
169,"Pavlova","Liz Nixon","USA",10,13.9,"Australia","Pavlova, Ltd."
170,"Tarte au sucre","Liz Nixon","USA",5,39.4,"Canada","Forêts d'érables'"
171,"Singaporean Hokkien Fried Mee","Janine Labrune","France",6,11.2,"Singapore","Leka Trading"
172,"Gudbrandsdalsost","Janine Labrune","France",7,28.8,"Norway","Norske Meierier"
173,"Rössle Sauerkraut","Rita Müller","Germany",4,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
174,"Ipoh Coffee","Rita Müller","Germany",24,36.8,"Singapore","Leka Trading"
175,"Perth Pasties","Rita Müller","Germany",20,26.2,"Sydney","G'day"
176,"Rhönbräu Klosterbier","Rita Müller","Germany",10,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
177,"Inlagd Sill","Horst Kloss","Germany",12,15.2,"Sweden","Svensk Sjöföda AB"
178,"Mascarpone Fabioli","Paula Wilson","USA",40,25.6,"Italy","Formaggi Fortini s.r.l."
179,"Escargots de Bourgogne","Paula Wilson","USA",30,10.6,"France","Escargots Nouveaux"
180,"Tarte au sucre","Paula Wilson","USA",25,39.4,"Canada","Forêts d'érables'"
181,"Sasquatch Ale","Helen Bennett","UK",14,11.2,"USA","Bigfoot Breweries"
182,"Outback Lager","Helen Bennett","UK",30,12.0,"Australia","Pavlova, Ltd."
183,"Jack's New England Clam Chowder'","Paula Wilson","USA",10,7.7,"USA","New England Seafood Cannery"
184,"Tarte au sucre","Paula Wilson","USA",70,39.4,"Canada","Forêts d'érables'"
185,"Chai","Fran Wilson","USA",20,14.4,"UK","Exotic Liquids"
186,"Jack's New England Clam Chowder'","Helen Bennett","UK",20,7.7,"USA","New England Seafood Cannery"
187,"Lakkalikööri","Helen Bennett","UK",6,14.4,"Finland","Karkki Oy"
188,"Alice Mutton","Miguel Angel Paolino","Mexico",8,31.2,"Australia","Pavlova, Ltd."
189,"Rössle Sauerkraut","Miguel Angel Paolino","Mexico",14,36.4,"Germany","Plutzer Lebensmittelgroßmärkte AG"
190,"Lakkalikööri","Miguel Angel Paolino","Mexico",30,14.4,"Finland","Karkki Oy"
191,"Flotemysost","Pirkko Koskitalo","Finland",30,17.2,"Norway","Norske Meierier"
192,"Steeleye Stout","Helen Bennett","UK",10,14.4,"USA","Bigfoot Breweries"
193,"Filo Mix","Guillermo Fernández","Mexico",20,5.6,"Sydney","G'day"
194,"Genen Shouyu","Philip Cramer","Germany",5,12.4,"Japan","Mayumi's'"
195,"NuNuCa Nuß-Nougat-Creme","Philip Cramer","Germany",4,11.2,"Germany","Heli Süßwaren GmbH & Co. KG"
196,"Chartreuse verte","Philip Cramer","Germany",4,14.4,"France","Aux joyeux ecclésiastiques"
197,"Pavlova","Jose Pavarotti","USA",21,13.9,"Australia","Pavlova, Ltd."
198,"Steeleye Stout","Jose Pavarotti","USA",70,14.4,"USA","Bigfoot Breweries"
199,"Spegesild","Jose Pavarotti","USA",30,9.6,"Denmark","Lyngbysild"
200,"Raclette Courdavault","Jose Pavarotti","USA",40,44.0,"France","Gai pâturage"
201,"Vegie-spread","Jose Pavarotti","USA",80,35.1,"Australia","Pavlova, Ltd."
202,"Grandma's Boysenberry Spread'","Philip Cramer","Germany",6,20.0,"USA","Grandma Kelly's Homestead'"
203,"Konbu","Philip Cramer","Germany",12,4.8,"Japan","Mayumi's'"
204,"Tofu","Philip Cramer","Germany",9,18.6,"Japan","Mayumi's'"
205,"Gorgonzola Telino","Philip Cramer","Germany",4,10.0,"Italy","Formaggi Fortini s.r.l."
206,"Mozzarella di Giovanni","Philip Cramer","Germany",40,27.8,"Italy","Formaggi Fortini s.r.l."
207,"Chef Anton's Cajun Seasoning'","Martín Sommer","Spain",24,17.6,"USA","New Orleans Cajun Delights"
208,"Ravioli Angelo","Martín Sommer","Spain",16,15.6,"Italy","Pasta Buttini s.r.l."
209,"Rhönbräu Klosterbier","Martín Sommer","Spain",50,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
210,"Chang","Maria Larsson","Sweden",25,15.2,"UK","Exotic Liquids"
211,"Queso Cabrales","Maria Larsson","Sweden",50,16.8,"Spain","Cooperativa de Quesos 'Las Cabras'''"
212,"Nord-Ost Matjeshering","Maria Larsson","Sweden",35,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
213,"Escargots de Bourgogne","Maria Larsson","Sweden",30,10.6,"France","Escargots Nouveaux"
214,"Raclette Courdavault","Lino Rodriguez","Portugal",9,44.0,"France","Gai pâturage"
215,"Louisiana Fiery Hot Pepper Sauce","Lino Rodriguez","Portugal",40,16.8,"USA","New Orleans Cajun Delights"
216,"Scottish Longbreads","Lino Rodriguez","Portugal",10,10.0,"UK","Specialty Biscuits, Ltd."
217,"Teatime Chocolate Biscuits","Art Braunschweiger","USA",10,7.3,"UK","Specialty Biscuits, Ltd."
218,"Nord-Ost Matjeshering","Art Braunschweiger","USA",8,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
219,"Côte de Blaye","Art Braunschweiger","USA",20,210.8,"France","Aux joyeux ecclésiastiques"
220,"Gnocchi di nonna Alice","Art Braunschweiger","USA",12,30.4,"Italy","Pasta Buttini s.r.l."
221,"Gumbär Gummibärchen","Carlos González","Venezuela",50,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
222,"Mozzarella di Giovanni","Carlos González","Venezuela",25,27.8,"Italy","Formaggi Fortini s.r.l."
223,"Tourtière","Laurence Lebihan","France",15,5.9,"Canada","Ma Maison"
224,"Carnarvon Tigers","Jean Fresnière","Canada",40,50.0,"Australia","Pavlova, Ltd."
225,"Singaporean Hokkien Fried Mee","Jean Fresnière","Canada",10,11.2,"Singapore","Leka Trading"
226,"Zaanse koeken","Jean Fresnière","Canada",16,7.6,"Netherlands","Zaanse Snoepfabriek"
227,"Tofu","Pirkko Koskitalo","Finland",10,18.6,"Japan","Mayumi's'"
228,"Sir Rodney's Scones'","Pirkko Koskitalo","Finland",10,8.0,"UK","Specialty Biscuits, Ltd."
229,"Flotemysost","Pirkko Koskitalo","Finland",40,17.2,"Norway","Norske Meierier"
230,"Filo Mix","Mary Saveley","France",8,5.6,"Sydney","G'day"
231,"Scottish Longbreads","Mary Saveley","France",10,10.0,"UK","Specialty Biscuits, Ltd."
232,"Chang","Patricia McKenna","Ireland",7,15.2,"UK","Exotic Liquids"
233,"Gorgonzola Telino","Patricia McKenna","Ireland",25,10.0,"Italy","Formaggi Fortini s.r.l."
234,"Mascarpone Fabioli","Patricia McKenna","Ireland",6,25.6,"Italy","Formaggi Fortini s.r.l."
235,"Manjimup Dried Apples","Patricia McKenna","Ireland",48,42.4,"Sydney","G'day"
236,"Chef Anton's Cajun Seasoning'","Isabel de Castro","Portugal",18,17.6,"USA","New Orleans Cajun Delights"
237,"Tunnbröd","Peter Franken","Germany",40,7.2,"Sweden","PB Knäckebröd AB"
238,"Gumbär Gummibärchen","Peter Franken","Germany",24,24.9,"Germany","Heli Süßwaren GmbH & Co. KG"
239,"Inlagd Sill","Peter Franken","Germany",20,15.2,"Sweden","Svensk Sjöföda AB"
240,"Gravad lax","Peter Franken","Germany",28,20.8,"Sweden","Svensk Sjöföda AB"
241,"Mozzarella di Giovanni","Peter Franken","Germany",25,27.8,"Italy","Formaggi Fortini s.r.l."
242,"Alice Mutton","Rene Phillips","USA",20,31.2,"Australia","Pavlova, Ltd."
243,"Nord-Ost Matjeshering","Rene Phillips","USA",15,20.7,"Germany","Nord-Ost-Fisch Handelsgesellschaft mbH"
244,"Chef Anton's Cajun Seasoning'","Jean Fresnière","Canada",10,17.6,"USA","New Orleans Cajun Delights"
245,"Alice Mutton","Jean Fresnière","Canada",70,31.2,"Australia","Pavlova, Ltd."
246,"Tarte au sucre","Jean Fresnière","Canada",28,39.4,"Canada","Forêts d'érables'"
247,"Carnarvon Tigers","Laurence Lebihan","France",20,50.0,"Australia","Pavlova, Ltd."
248,"Jack's New England Clam Chowder'","Laurence Lebihan","France",12,7.7,"USA","New England Seafood Cannery"
249,"Ipoh Coffee","Laurence Lebihan","France",40,36.8,"Singapore","Leka Trading"
250,"Geitost","Jytte Petersen","Denmark",8,2.0,"Norway","Norske Meierier"
251,"Raclette Courdavault","Jytte Petersen","Denmark",9,44.0,"France","Gai pâturage"
252,"Chang","Peter Franken","Germany",24,15.2,"UK","Exotic Liquids"
253,"Gorgonzola Telino","Peter Franken","Germany",56,10.0,"Italy","Formaggi Fortini s.r.l."
254,"Inlagd Sill","Peter Franken","Germany",40,15.2,"Sweden","Svensk Sjöföda AB"
255,"Pâté chinois","Peter Franken","Germany",40,19.2,"Canada","Ma Maison"
256,"Wimmers gute Semmelknödel","Renate Messner","Germany",50,26.6,"Germany","Plutzer Lebensmittelgroßmärkte AG"
257,"Scottish Longbreads","Renate Messner","Germany",4,10.0,"UK","Specialty Biscuits, Ltd."
258,"Lakkalikööri","Renate Messner","Germany",15,14.4,"Finland","Karkki Oy"
259,"Chef Anton's Cajun Seasoning'","Karl Jablonski","USA",35,17.6,"USA","New Orleans Cajun Delights"
260,"Northwoods Cranberry Sauce","Karl Jablonski","USA",70,32.0,"USA","Grandma Kelly's Homestead'"
261,"Northwoods Cranberry Sauce","Horst Kloss","Germany",70,32.0,"USA","Grandma Kelly's Homestead'"
262,"Teatime Chocolate Biscuits","Horst Kloss","Germany",80,7.3,"UK","Specialty Biscuits, Ltd."
263,"Singaporean Hokkien Fried Mee","Horst Kloss","Germany",9,11.2,"Singapore","Leka Trading"
264,"Alice Mutton","Paula Wilson","USA",36,31.2,"Australia","Pavlova, Ltd."
265,"Gnocchi di nonna Alice","Paula Wilson","USA",20,30.4,"Italy","Pasta Buttini s.r.l."
266,"NuNuCa Nuß-Nougat-Creme","Aria Cruz","Brazil",10,11.2,"Germany","Heli Süßwaren GmbH & Co. KG"
267,"Chartreuse verte","Aria Cruz","Brazil",50,14.4,"France","Aux joyeux ecclésiastiques"
268,"Boston Crab Meat","Aria Cruz","Brazil",4,14.7,"USA","New England Seafood Cannery"
269,"Rhönbräu Klosterbier","Aria Cruz","Brazil",6,6.2,"Germany","Plutzer Lebensmittelgroßmärkte AG"
270,"Chai","Rita Müller","Germany",15,14.4,"UK","Exotic Liquids"
271,"Tunnbröd","Rita Müller","Germany",25,7.2,"Sweden","PB Knäckebröd AB"
272,"Tourtière","Art Braunschweiger","USA",24,5.9,"Canada","Ma Maison"
273,"Valkoinen suklaa","Annette Roulet","France",15,13.0,"Finland","Karkki Oy"
274,"Gudbrandsdalsost","Annette Roulet","France",18,28.8,"Norway","Norske Meierier"
275,"Côte de Blaye","Roland Mendel","Austria",20,210.8,"France","Aux joyeux ecclésiastiques"
