_id,Id,FirstName,LastName,City,Country,Phone
5f1f5ef519f51f02bc5875bb,82,Helvetius,Nagy,Kirkland,USA,(206) 555-8257
5f1f5ef519f51f02bc5875b4,75,Art,Braunschweiger,Lander,USA,(307) 555-4680
5f1f5ef519f51f02bc5875ae,69,Alejandra,Camino,Madrid,Spain,(91) 745 6200
5f1f5ef519f51f02bc5875bf,86,Rita,Müller,Stuttgart,Germany,0711-020361
5f1f5ef519f51f02bc5875c2,89,Karl,Jablonski,Seattle,USA,(206) 555-4112
5f1f5ef519f51f02bc5875c4,91,Zbyszek,Piestrzeniewicz,Warszawa,Poland,(26) 642-7012
5f1f5ef519f51f02bc5875c3,90,Matti,Karttunen,Helsinki,Finland,90-224 8858
5f1f5ef519f51f02bc5875ab,66,Maurizio,Moroni,Reggio Emilia,Italy,0522-556721
5f1f5ef519f51f02bc5875b2,73,Jytte,Petersen,Kobenhavn,Denmark,31 12 34 56
5f1f5ef519f51f02bc5875b0,71,Jose,Pavarotti,Boise,USA,(208) 555-8097
5f1f5ef519f51f02bc5875af,70,Jonas,Bergulfsen,Stavern,Norway,07-98 92 35
5f1f5ef519f51f02bc5875b6,77,Liz,Nixon,Portland,USA,(503) 555-3612
5f1f5ef519f51f02bc5875c0,87,Pirkko,Koskitalo,Oulu,Finland,981-443655
5f1f5ef519f51f02bc5875ac,67,Janete,Limeira,Rio de Janeiro,Brazil,(21) 555-3412
5f1f5ef519f51f02bc5875b3,74,Dominique,Perrier,Paris,France,(1) 47.55.60.10
5f1f5ef519f51f02bc5875b5,76,Pascale,Cartrain,Charleroi,Belgium,(071) 23 67 22 20
5f1f5ef519f51f02bc5875be,85,Paul,Henriot,Reims,France,26.47.15.10
5f1f5ef519f51f02bc5875b8,79,Karin,Josephs,Münster,Germany,0251-031259
5f1f5ef519f51f02bc5875ad,68,Michael,Holz,Genève,Switzerland,0897-034214
5f1f5ef519f51f02bc5875b9,80,Miguel,Angel Paolino,México D.F.,Mexico,(5) 555-2933
5f1f5ef519f51f02bc5875bd,84,Mary,Saveley,Lyon,France,78.32.54.86
5f1f5ef519f51f02bc5875c1,88,Paula,Parente,Resende,Brazil,(14) 555-8122
5f1f5ef519f51f02bc5875b7,78,Liu,Wong,Butte,USA,(406) 555-5834
5f1f5ef519f51f02bc5875ba,81,Anabela,Domingues,Sao Paulo,Brazil,(11) 555-2167
5f1f5ef519f51f02bc5875aa,65,Paula,Wilson,Albuquerque,USA,(505) 555-5939
5f1f5ef519f51f02bc5875bc,83,Palle,Ibsen,Århus,Denmark,86 21 32 43
